time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,school_main_phase,count_schools,school_places,pupils_on_roll,at_or_over_capacity_schools,percent_at_or_over_capacity_schools,pupils_over_capacity,percent_pupils_over_capacity,under_capacity_schools,percent_under_capacity_schools,unfilled_places,percent_unfilled_places
202223,Academic year,National,E92000001,England,,,,,,Total,20197,8978046,7993753,3665,18.14625935,58634,0.653082,16531,81.84878942,1042852,11.615579
202223,Academic year,National,E92000001,England,,,,,,Primary,16787,4949245,4393178,2878,17.14421874,21598,0.43639,13908,82.84982427,577590,11.670265
202223,Academic year,National,E92000001,England,,,,,,Secondary,3410,4028801,3600575,787,23.07917889,37036,0.919281,2623,76.92082111,465262,11.548399
202223,Academic year,Regional,E92000001,England,E12000001,North East,,,,Total,1035,416869,361397,130,12.56038647,2274,0.545495,905,87.43961353,57746,13.852313
202223,Academic year,Regional,E92000001,England,E12000001,North East,,,,Primary,862,230515,197816,95,11.02088167,670,0.290654,767,88.97911833,33369,14.475848
202223,Academic year,Regional,E92000001,England,E12000001,North East,,,,Secondary,173,186354,163581,35,20.23121387,1604,0.860727,138,79.76878613,24377,13.081018
202223,Academic year,Regional,E92000001,England,E12000002,North West,,,,Total,2909,1174855,1074780,678,23.30697834,8841,0.752518,2231,76.69302166,108916,9.270591
202223,Academic year,Regional,E92000001,England,E12000002,North West,,,,Primary,2445,663444,610007,552,22.57668712,4658,0.702094,1893,77.42331288,58095,8.756579
202223,Academic year,Regional,E92000001,England,E12000002,North West,,,,Secondary,464,511411,464773,126,27.15517241,4183,0.817933,338,72.84482759,50821,9.937408
202223,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Total,2093,889778,796669,354,16.91352126,5338,0.599925,1739,83.08647874,98447,11.064221
202223,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Primary,1771,496899,445026,295,16.65725579,2084,0.419401,1476,83.34274421,53957,10.858746
202223,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Secondary,322,392879,351643,59,18.32298137,3254,0.828245,263,81.67701863,44490,11.324097
202223,Academic year,Regional,E92000001,England,E12000004,East Midlands,,,,Total,1942,775442,696900,337,17.35324408,5742,0.740481,1605,82.64675592,84284,10.869156
202223,Academic year,Regional,E92000001,England,E12000004,East Midlands,,,,Primary,1653,431425,384466,272,16.45493043,2036,0.471924,1381,83.54506957,48995,11.356551
202223,Academic year,Regional,E92000001,England,E12000004,East Midlands,,,,Secondary,289,344017,312434,65,22.49134948,3706,1.077272,224,77.50865052,35289,10.257923
202223,Academic year,Regional,E92000001,England,E12000005,West Midlands,,,,Total,2192,982160,898143,523,23.85948905,7075,0.720351,1669,76.14051095,91092,9.27466
202223,Academic year,Regional,E92000001,England,E12000005,West Midlands,,,,Primary,1774,533740,492119,414,23.33709132,2874,0.538464,1360,76.66290868,44495,8.336456
202223,Academic year,Regional,E92000001,England,E12000005,West Midlands,,,,Secondary,418,448420,406024,109,26.07655502,4201,0.936845,309,73.92344498,46597,10.391374
202223,Academic year,Regional,E92000001,England,E12000006,East of England,,,,Total,2381,1039582,914979,353,14.82570349,4619,0.444313,2027,85.13229735,129147,12.422974
202223,Academic year,Regional,E92000001,England,E12000006,East of England,,,,Primary,1989,568027,499685,278,13.9768728,1688,0.297169,1710,85.97285068,69955,12.315436
202223,Academic year,Regional,E92000001,England,E12000006,East of England,,,,Secondary,392,471555,415294,75,19.13265306,2931,0.621561,317,80.86734694,59192,12.552512
202223,Academic year,Regional,E92000001,England,E12000007,London,,,,Total,2304,1414936,1223155,295,12.80381944,9466,0.669006,2009,87.19618056,201247,14.223046
202223,Academic year,Regional,E92000001,England,E12000007,London,,,,Primary,1801,771296,651040,180,9.994447529,2425,0.314406,1621,90.00555247,122681,15.905826
202223,Academic year,Regional,E92000001,England,E12000007,London,,,,Secondary,503,643640,572115,115,22.86282306,7041,1.093934,388,77.13717694,78566,12.206513
202223,Academic year,Regional,E92000001,England,E12000008,South East,,,,Total,3119,1427043,1287572,649,20.80795127,9121,0.639154,2470,79.19204873,148592,10.41258
202223,Academic year,Regional,E92000001,England,E12000008,South East,,,,Primary,2605,784204,709486,521,20,3305,0.421446,2084,80,78023,9.949324
202223,Academic year,Regional,E92000001,England,E12000008,South East,,,,Secondary,514,642839,578086,128,24.90272374,5816,0.904737,386,75.09727626,70569,10.97771
202223,Academic year,Regional,E92000001,England,E12000009,South West,,,,Total,2222,857381,740158,346,15.57155716,6158,0.718234,1876,84.42844284,123381,14.390452
202223,Academic year,Regional,E92000001,England,E12000009,South West,,,,Primary,1887,469695,403533,271,14.36142024,1858,0.395576,1616,85.63857976,68020,14.481738
202223,Academic year,Regional,E92000001,England,E12000009,South West,,,,Secondary,335,387686,336625,75,22.3880597,4300,1.109145,260,77.6119403,55361,14.279855
202223,Academic year,Regional,E92000001,England,E13000001,Inner London,,,,Total,879,476207,397468,74,8.418657565,3080,0.646778,805,91.58134243,81819,17.181394
202223,Academic year,Regional,E92000001,England,E13000001,Inner London,,,,Primary,700,266956,211127,29,4.142857143,772,0.289186,671,95.85714286,56601,21.20237
202223,Academic year,Regional,E92000001,England,E13000001,Inner London,,,,Secondary,179,209251,186341,45,25.1396648,2308,1.102982,134,74.8603352,25218,12.051555
202223,Academic year,Regional,E92000001,England,E13000002,Outer London,,,,Total,1425,938729,825687,221,15.50877193,6386,0.680282,1204,84.49122807,119428,12.722309
202223,Academic year,Regional,E92000001,England,E13000002,Outer London,,,,Primary,1101,504340,439913,151,13.71480472,1653,0.327755,950,86.28519528,66080,13.102272
202223,Academic year,Regional,E92000001,England,E13000002,Outer London,,,,Secondary,324,434389,385774,70,21.60493827,4733,1.089576,254,78.39506173,53348,12.281158
202223,Academic year,Local authority,E92000001,England,E12000001,North East,390,E08000037,Gateshead,Total,77,29872,26755,12,15.58441558,107,0.358195,65,84.41558442,3224,10.792716
202223,Academic year,Local authority,E92000001,England,E12000001,North East,390,E08000037,Gateshead,Primary,67,17066,14618,11,16.41791045,69,0.404313,56,83.58208955,2517,14.748623
202223,Academic year,Local authority,E92000001,England,E12000001,North East,390,E08000037,Gateshead,Secondary,10,12806,12137,1,10,38,0.296736,9,90,707,5.52085
202223,Academic year,Local authority,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,Total,89,44277,39280,23,25.84269663,404,0.912438,66,74.15730337,5401,12.198207
202223,Academic year,Local authority,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,Primary,72,22855,21135,16,22.22222222,43,0.188143,56,77.77777778,1763,7.713848
202223,Academic year,Local authority,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,Secondary,17,21422,18145,7,41.17647059,361,1.685183,10,58.82352941,3638,16.982541
202223,Academic year,Local authority,E92000001,England,E12000001,North East,392,E08000022,North Tyneside,Total,71,32310,28605,14,19.71830986,374,1.157536,57,80.28169014,4079,12.624574
202223,Academic year,Local authority,E92000001,England,E12000001,North East,392,E08000022,North Tyneside,Primary,55,16612,14519,8,14.54545455,99,0.595955,47,85.45454545,2192,13.195281
202223,Academic year,Local authority,E92000001,England,E12000001,North East,392,E08000022,North Tyneside,Secondary,16,15698,14086,6,37.5,275,1.751816,10,62.5,1887,12.02064
202223,Academic year,Local authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,Total,53,22688,20968,8,15.09433962,104,0.458392,45,84.90566038,1824,8.039492
202223,Academic year,Local authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,Primary,45,12814,11704,6,13.33333333,20,0.156079,39,86.66666667,1130,8.81848
202223,Academic year,Local authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,Secondary,8,9874,9264,2,25,84,0.850719,6,75,694,7.02856
202223,Academic year,Local authority,E92000001,England,E12000001,North East,394,E08000024,Sunderland,Total,99,42583,37497,12,12.12121212,421,0.988657,87,87.87878788,5507,12.932391
202223,Academic year,Local authority,E92000001,England,E12000001,North East,394,E08000024,Sunderland,Primary,81,23615,20752,8,9.87654321,36,0.152445,73,90.12345679,2899,12.276096
202223,Academic year,Local authority,E92000001,England,E12000001,North East,394,E08000024,Sunderland,Secondary,18,18968,16745,4,22.22222222,385,2.029734,14,77.77777778,2608,13.749473
202223,Academic year,Local authority,E92000001,England,E12000001,North East,805,E06000001,Hartlepool,Total,35,15996,13511,1,2.857142857,5,0.031258,34,97.14285714,2490,15.566392
