time_period,time_identifier,geographic_level,country_code,country_name,school_phase,count_schools,school_places,school_places_change_from_previous_survey,school_places_change_from_200910,pupils_on_roll,at_or_over_capacity_schools,percent_at_or_over_capacity_schools,pupils_over_capacity,percent_pupils_over_capacity,under_capacity_schools,percent_under_capacity_schools,unfilled_places,percent_unfilled_places
202223,Academic year,National,E92000001,England,Total,20197,8978046,25425,1187401,7993753,3665,18.14625935,58634,0.653081974,16531,81.84878942,1042852,11.61557871
202223,Academic year,National,E92000001,England,Primary,16787,4949245,948,721718,4393178,2878,17.14421874,21598,0.436389793,13908,82.84982427,577590,11.67026486
202223,Academic year,National,E92000001,England,Secondary,3410,4028801,24477,465683,3600575,787,23.07917889,37036,0.919280947,2623,76.92082111,465262,11.54839864
202122,Academic year,National,E92000001,England,Total,20198,8952621,46654,1161976,7940834,3644,18.04139024,59233,0.661627472,16554,81.95860976,1071020,11.9632005
202122,Academic year,National,E92000001,England,Primary,16791,4948297,5186,720770,4401508,2874,17.11631231,22498,0.454661472,13917,82.88368769,569287,11.50470556
202122,Academic year,National,E92000001,England,Secondary,3407,4004324,41468,441206,3539326,770,22.60052832,36735,0.917383309,2637,77.39947168,501733,12.52978031
202021,Academic year,National,E92000001,England,Total,20183,8905967,111986,1115322,7872735,3537,17.52464946,56368,0.632923971,16642,82.45553188,1089331,12.23147357
202021,Academic year,National,E92000001,England,Primary,16791,4943111,46642,715584,4403235,2785,16.58626645,20930,0.42341756,14003,83.39586683,560585,11.34073259
202021,Academic year,National,E92000001,England,Secondary,3392,3962856,65344,399738,3469500,752,22.16981132,35438,0.894254043,2639,77.80070755,528746,13.34254891
201920,Academic year,National,E92000001,England,Total,x,x,x,x,x,x,x,x,x,x,x,x,x
201920,Academic year,National,E92000001,England,Primary,x,x,x,x,x,x,x,x,x,x,x,x,x
201920,Academic year,National,E92000001,England,Secondary,x,x,x,x,x,x,x,x,x,x,x,x,x
201819,Academic year,National,E92000001,England,Total,20158,8793981,82610,1003336,7740594,3902,19.35707908,50396,0.573073788,16254,80.63299931,1103643,12.54998163
201819,Academic year,National,E92000001,England,Primary,16769,4896469,33140,668942,4439571,3340,19.91770529,25481,0.520395411,13428,80.07633133,482335,9.850669942
201819,Academic year,National,E92000001,England,Secondary,3389,3897512,49470,334394,3301023,562,16.58306285,24915,0.639253965,2826,83.38742992,621308,15.94114399
201718,Academic year,National,E92000001,England,Total,20147,8711371,95930,920726,7654797,4031,20.00794163,49603,0.569405206,16114,79.98213133,1105991,12.69594648
201718,Academic year,National,E92000001,England,Primary,16771,4863329,59172,635802,4423856,3519,20.98264862,27441,0.564243135,13251,79.01138871,466824,9.598857079
201718,Academic year,National,E92000001,England,Secondary,3376,3848042,36758,284924,3230941,512,15.16587678,22162,0.575929265,2863,84.80450237,639167,16.61018773
201617,Academic year,National,E92000001,England,Total,20161,8615441,89705,824796,7578789,4374,21.69535241,54145,0.628464637,15786,78.29968752,1090727,12.66014125
201617,Academic year,National,E92000001,England,Primary,16782,4804157,66257,576630,4381270,3826,22.79823621,29974,0.623917994,12955,77.19580503,452791,9.424983405
201617,Academic year,National,E92000001,England,Secondary,3379,3811284,23448,248166,3197519,548,16.21781592,24171,0.63419572,2831,83.78218408,637936,16.73808617
201516,Academic year,National,E92000001,England,Total,20146,8525736,136257,735091,7478455,4268,21.18534697,50246,0.589345014,15878,78.81465303,1097527,12.87310562
201516,Academic year,National,E92000001,England,Primary,16771,4737900,103966,510373,4307008,3781,22.54486912,30173,0.636843327,12990,77.45513088,461065,9.731421094
201516,Academic year,National,E92000001,England,Secondary,3375,3787836,32291,224718,3171447,487,14.42962963,20073,0.529933186,2888,85.57037037,636462,16.8027866
201415,Academic year,National,E92000001,England,Total,20115,8389479,149649,598834,7373694,4307,21.41188168,50329,0.599906144,15808,78.58811832,1066114,12.70774979
201415,Academic year,National,E92000001,England,Primary,16759,4633934,105911,406407,4210503,3807,22.71615252,30539,0.659029671,12952,77.28384748,453970,9.796643629
201415,Academic year,National,E92000001,England,Secondary,3356,3755545,43738,192427,3163191,500,14.89868892,19790,0.526954144,2856,85.10131108,612144,16.29973812
201314,Academic year,National,E92000001,England,Total,20087,8239830,186321,449185,7278775,4195,20.88415393,49717,0.603374099,15892,79.11584607,1010772,12.26690356
201314,Academic year,National,E92000001,England,Primary,16766,4528023,111815,300496,4111660,3697,22.05057855,30737,0.678817223,13069,77.94942145,447100,9.874066452
201314,Academic year,National,E92000001,England,Secondary,3321,3711807,74506,148689,3167115,498,14.99548329,18980,0.511341242,2823,85.00451671,563672,15.18591888
201213,Academic year,National,E92000001,England,Total,20049,8053509,138946,262864,7202897,4096,20.42994663,53888,0.669124477,15953,79.57005337,904500,11.23112919
201213,Academic year,National,E92000001,England,Primary,16775,4416208,102438,188681,4011425,3514,20.94783905,30276,0.685565535,13261,79.05216095,435059,9.851415513
201213,Academic year,National,E92000001,England,Secondary,3274,3637301,36508,74183,3191472,582,17.77642028,23612,0.649162662,2692,82.22357972,469441,12.90630058
201112,Academic year,National,E92000001,England,Total,20072,7914563,52291,123918,7138081,4117,20.51115982,62263,0.786689044,15955,79.48884018,838745,10.59748972
201112,Academic year,National,E92000001,England,Primary,16812,4313770,60469,86243,3912538,3423,20.36045682,31494,0.730080649,13389,79.63954318,432726,10.03127195
201112,Academic year,National,E92000001,England,Secondary,3260,3600793,-8178,37675,3225543,694,21.28834356,30769,0.854506216,2566,78.71165644,406019,11.27582174
201011,Academic year,National,E92000001,England,Total,20173,7862272,71627,71627,7098721,4275,21.19169187,77101,0.980645289,15898,78.80830813,840652,10.69222739
201011,Academic year,National,E92000001,England,Primary,16873,4253301,25774,25774,3845738,3438,20.37574824,36845,0.866268341,13435,79.62425176,444408,10.44854338
201011,Academic year,National,E92000001,England,Secondary,3300,3608971,45853,45853,3252983,837,25.36363636,40256,1.115442601,2463,74.63636364,396244,10.97941768
200910,Academic year,National,E92000001,England,Total,20276,7790645,z,z,7074184,4374,21.57230223,97218,1.247881273,15902,78.42769777,813679,10.44430853
200910,Academic year,National,E92000001,England,Primary,16964,4227527,z,z,3810779,3444,20.30181561,41677,0.985848228,13520,79.69818439,458425,10.8438101
200910,Academic year,National,E92000001,England,Secondary,3312,3563118,z,z,3263405,930,28.07971014,55541,1.558775208,2382,71.92028986,355254,9.970312518
