time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,school_main_phase,count_schools,school_places,pupils_on_roll,primary_capacity,secondary_capacity,primary_pupils_on_roll,secondary_pupils_on_roll
202223,Academic year,National,E92000001,England,,,,,,Total,1077,147887,151887,59775,88112,57988,93899
202223,Academic year,National,E92000001,England,,,,,,Primary,197,22148,22568,22079,69,22495,73
202223,Academic year,National,E92000001,England,,,,,,Secondary,880,125739,129319,37696,88043,35493,93826
202223,Academic year,Regional,E92000001,England,E12000001,North East,,,,Total,64,9449,9593,4096,5353,3828,5765
202223,Academic year,Regional,E92000001,England,E12000001,North East,,,,Primary,15,1778,1785,1778,0,1785,0
202223,Academic year,Regional,E92000001,England,E12000001,North East,,,,Secondary,49,7671,7808,2318,5353,2043,5765
202223,Academic year,Regional,E92000001,England,E12000002,North West,,,,Total,169,21493,22976,8773,12720,8603,14373
202223,Academic year,Regional,E92000001,England,E12000002,North West,,,,Primary,45,5264,5298,5264,0,5295,3
202223,Academic year,Regional,E92000001,England,E12000002,North West,,,,Secondary,124,16229,17678,3509,12720,3308,14370
202223,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Total,87,12669,12883,4819,7850,4519,8364
202223,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Primary,13,1681,1719,1680,1,1719,0
202223,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Secondary,74,10988,11164,3139,7849,2800,8364
202223,Academic year,Regional,E92000001,England,E12000004,East Midlands,,,,Total,84,11031,11644,4091,6940,4094,7550
202223,Academic year,Regional,E92000001,England,E12000004,East Midlands,,,,Primary,10,1093,1152,1093,0,1152,0
202223,Academic year,Regional,E92000001,England,E12000004,East Midlands,,,,Secondary,74,9938,10492,2998,6940,2942,7550
202223,Academic year,Regional,E92000001,England,E12000005,West Midlands,,,,Total,126,18233,19089,7509,10724,7911,11178
202223,Academic year,Regional,E92000001,England,E12000005,West Midlands,,,,Primary,36,3680,3936,3641,39,3899,37
202223,Academic year,Regional,E92000001,England,E12000005,West Midlands,,,,Secondary,90,14553,15153,3868,10685,4012,11141
202223,Academic year,Regional,E92000001,England,E12000006,East of England,,,,Total,114,15117,15479,6251,8866,6096,9383
202223,Academic year,Regional,E92000001,England,E12000006,East of England,,,,Primary,10,1100,1109,1100,0,1107,2
202223,Academic year,Regional,E92000001,England,E12000006,East of England,,,,Secondary,104,14017,14370,5151,8866,4989,9381
202223,Academic year,Regional,E92000001,England,E12000007,London,,,,Total,155,21118,21268,8470,12648,8079,13189
202223,Academic year,Regional,E92000001,England,E12000007,London,,,,Primary,29,3346,3248,3325,21,3229,19
202223,Academic year,Regional,E92000001,England,E12000007,London,,,,Secondary,126,17772,18020,5145,12627,4850,13170
202223,Academic year,Regional,E92000001,England,E12000008,South East,,,,Total,183,26430,26342,10707,15723,10137,16205
202223,Academic year,Regional,E92000001,England,E12000008,South East,,,,Primary,32,3683,3785,3675,8,3773,12
202223,Academic year,Regional,E92000001,England,E12000008,South East,,,,Secondary,151,22747,22557,7032,15715,6364,16193
202223,Academic year,Regional,E92000001,England,E12000009,South West,,,,Total,95,12347,12613,5059,7288,4721,7892
202223,Academic year,Regional,E92000001,England,E12000009,South West,,,,Primary,7,523,536,523,0,536,0
202223,Academic year,Regional,E92000001,England,E12000009,South West,,,,Secondary,88,11824,12077,4536,7288,4185,7892
202223,Academic year,Regional,E92000001,England,E13000001,Inner London,,,,Total,61,7441,7255,2738,4703,2497,4758
202223,Academic year,Regional,E92000001,England,E13000001,Inner London,,,,Primary,9,789,759,789,0,759,0
