time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,school_main_phase,count_schools,total_school_places,total_school_pupils_on_roll,SEND_unit_capacity,resourced_provision_capacity,primary_SEND_unit_capacity,primary_resourced_provision_capacity,secondary_SEND_unit_capacity,secondary_resourced_provision_capacity
202223,Academic year,National,E92000001,England,,,,,,Total,1631,1159263,1045588,9010,17820,5912,10213,3098,7607
202223,Academic year,National,E92000001,England,,,,,,Primary,1060,419044,376100,5904,10080,5894,10073,10,7
202223,Academic year,National,E92000001,England,,,,,,Secondary,571,740219,669488,3106,7740,18,140,3088,7600
202223,Academic year,Regional,E92000001,England,E12000001,North East,,,,Total,99,63148,57238,739,1150,482,657,257,493
202223,Academic year,Regional,E92000001,England,E12000001,North East,,,,Primary,64,20120,17490,464,653,464,653,0,0
202223,Academic year,Regional,E92000001,England,E12000001,North East,,,,Secondary,35,43028,39748,275,497,18,4,257,493
202223,Academic year,Local authority,E92000001,England,E12000001,North East,390,E08000037,Gateshead,Total,7,4680,4096,96,8,60,8,36,0
202223,Academic year,Local authority,E92000001,England,E12000001,North East,390,E08000037,Gateshead,Primary,5,1456,1018,60,8,60,8,0,0
202223,Academic year,Local authority,E92000001,England,E12000001,North East,390,E08000037,Gateshead,Secondary,2,3224,3078,36,0,0,0,36,0
202223,Academic year,Local authority,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,Total,19,14051,12965,108,207,52,142,56,65
202223,Academic year,Local authority,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,Primary,13,4237,3827,52,140,52,140,0,0
202223,Academic year,Local authority,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,Secondary,6,9814,9138,56,67,0,2,56,65
202223,Academic year,Local authority,E92000001,England,E12000001,North East,392,E08000022,North Tyneside,Total,11,7730,6964,0,133,0,64,0,69
202223,Academic year,Local authority,E92000001,England,E12000001,North East,392,E08000022,North Tyneside,Primary,5,1219,1073,0,62,0,62,0,0
202223,Academic year,Local authority,E92000001,England,E12000001,North East,392,E08000022,North Tyneside,Secondary,6,6511,5891,0,71,0,2,0,69
202223,Academic year,Local authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,Total,6,3491,3445,179,0,103,0,76,0
202223,Academic year,Local authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,Primary,4,1050,992,103,0,103,0,0,0
202223,Academic year,Local authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,Secondary,2,2441,2453,76,0,0,0,76,0
202223,Academic year,Local authority,E92000001,England,E12000001,North East,394,E08000024,Sunderland,Total,10,6190,5181,185,0,96,0,89,0
202223,Academic year,Local authority,E92000001,England,E12000001,North East,394,E08000024,Sunderland,Primary,6,2170,1852,78,0,78,0,0,0
202223,Academic year,Local authority,E92000001,England,E12000001,North East,394,E08000024,Sunderland,Secondary,4,4020,3329,107,0,18,0,89,0
202223,Academic year,Local authority,E92000001,England,E12000001,North East,805,E06000001,Hartlepool,Total,7,4462,3865,0,167,0,82,0,85
202223,Academic year,Local authority,E92000001,England,E12000001,North East,805,E06000001,Hartlepool,Primary,5,1861,1493,0,82,0,82,0,0
202223,Academic year,Local authority,E92000001,England,E12000001,North East,805,E06000001,Hartlepool,Secondary,2,2601,2372,0,85,0,0,0,85
202223,Academic year,Local authority,E92000001,England,E12000001,North East,806,E06000002,Middlesbrough,Total,11,8269,7641,55,314,55,151,0,163
202223,Academic year,Local authority,E92000001,England,E12000001,North East,806,E06000002,Middlesbrough,Primary,6,2119,1859,55,151,55,151,0,0
202223,Academic year,Local authority,E92000001,England,E12000001,North East,806,E06000002,Middlesbrough,Secondary,5,6150,5782,0,163,0,0,0,163
202223,Academic year,Local authority,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,Total,6,1625,1399,100,45,100,45,0,0
202223,Academic year,Local authority,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,Primary,6,1625,1399,100,45,100,45,0,0
202223,Academic year,Local authority,E92000001,England,E12000001,North East,808,E06000004,Stockton-on-Tees,Total,15,9956,9152,0,197,0,112,0,85
202223,Academic year,Local authority,E92000001,England,E12000001,North East,808,E06000004,Stockton-on-Tees,Primary,9,2963,2670,0,112,0,112,0,0
202223,Academic year,Local authority,E92000001,England,E12000001,North East,808,E06000004,Stockton-on-Tees,Secondary,6,6993,6482,0,85,0,0,0,85
202223,Academic year,Local authority,E92000001,England,E12000001,North East,841,E06000005,Darlington,Total,5,1905,1818,16,57,16,43,0,14
202223,Academic year,Local authority,E92000001,England,E12000001,North East,841,E06000005,Darlington,Primary,4,1270,1152,16,43,16,43,0,0
202223,Academic year,Local authority,E92000001,England,E12000001,North East,841,E06000005,Darlington,Secondary,1,635,666,0,14,0,0,0,14
202223,Academic year,Local authority,E92000001,England,E12000001,North East,929,E06000057,Northumberland,Total,2,789,712,0,22,0,10,0,12
202223,Academic year,Local authority,E92000001,England,E12000001,North East,929,E06000057,Northumberland,Primary,1,150,155,0,10,0,10,0,0
202223,Academic year,Local authority,E92000001,England,E12000001,North East,929,E06000057,Northumberland,Secondary,1,639,557,0,12,0,0,0,12
202223,Academic year,Regional,E92000001,England,E12000002,North West,,,,Total,191,109139,102298,654,2056,616,1265,38,791
202223,Academic year,Regional,E92000001,England,E12000002,North West,,,,Primary,136,44362,40564,616,1230,616,1230,0,0
202223,Academic year,Regional,E92000001,England,E12000002,North West,,,,Secondary,55,64777,61734,38,826,0,35,38,791
202223,Academic year,Local authority,E92000001,England,E12000002,North West,341,E08000012,Liverpool,Total,9,2676,2757,184,46,184,46,0,0
202223,Academic year,Local authority,E92000001,England,E12000002,North West,341,E08000012,Liverpool,Primary,9,2676,2757,184,46,184,46,0,0
202223,Academic year,Local authority,E92000001,England,E12000002,North West,342,E08000013,St. Helens,Total,5,2850,2779,0,132,0,52,0,80
202223,Academic year,Local authority,E92000001,England,E12000002,North West,342,E08000013,St. Helens,Primary,3,830,757,0,52,0,52,0,0
202223,Academic year,Local authority,E92000001,England,E12000002,North West,342,E08000013,St. Helens,Secondary,2,2020,2022,0,80,0,0,0,80
