time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,primary_planning_area_code,secondary_planning_area_code,school_laestab,school_urn,school_name,school_main_phase,school_phase,school_places,pupils_on_roll,primary_capacity,secondary_capacity,primary_pupils_on_roll,secondary_pupils_on_roll
202223,Academic year,School,E92000001,England,E12000001,North East,390,E08000037,Gateshead,1390003,1390013,3907002,138652,The Cedars Academy,Secondary,AT,238,240,119,119,87,153
202223,Academic year,School,E92000001,England,E12000001,North East,390,E08000037,Gateshead,z,1390013,3907006,108426,Furrowfield School,Secondary,SS,76,73,0,76,0,73
202223,Academic year,School,E92000001,England,E12000001,North East,390,E08000037,Gateshead,1390003,z,3907007,131213,Gibside School,Primary,PS,180,181,180,0,181,0
202223,Academic year,School,E92000001,England,E12000001,North East,390,E08000037,Gateshead,z,1390013,3907008,130942,Hill Top School,Secondary,SS,120,130,0,120,0,130
202223,Academic year,School,E92000001,England,E12000001,North East,390,E08000037,Gateshead,z,1390013,3907009,131200,Dryden School,Secondary,SS,55,57,0,55,0,57
202223,Academic year,School,E92000001,England,E12000001,North East,390,E08000037,Gateshead,1390003,z,3907010,133397,Eslington Primary School,Primary,PS,70,69,70,0,69,0
202223,Academic year,School,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,1391003,1391013,3917004,108551,Northern Counties School,Secondary,AT,100,85,58,42,28,57
202223,Academic year,School,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,1391003,1391013,3917033,141865,Trinity Academy Newcastle,Secondary,AT,215,193,90,125,47,146
202223,Academic year,School,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,1391003,z,3917034,131986,Hadrian School,Primary,PS,175,162,175,0,162,0
202223,Academic year,School,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,z,1391013,3917035,131987,Sir Charles Parsons School,Secondary,SS,210,206,0,210,0,206
202223,Academic year,School,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,1391003,1391013,3917036,146680,Thomas Bewick School,Secondary,AT,315,314,210,105,212,102
202223,Academic year,School,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,1391003,1391013,3917038,133779,Talbot House Trust,Secondary,AT,60,37,35,25,13,24
202223,Academic year,School,E92000001,England,E12000001,North East,392,E08000022,North Tyneside,1392003,1392013,3927001,108652,Woodlawn School,Secondary,AT,157,147,70,87,64,83
202223,Academic year,School,E92000001,England,E12000001,North East,392,E08000022,North Tyneside,z,1392013,3927002,108653,Southlands School,Secondary,SS,169,169,0,169,0,169
202223,Academic year,School,E92000001,England,E12000001,North East,392,E08000022,North Tyneside,1392003,z,3927004,108655,Benton Dene School,Primary,PS,128,121,128,0,121,0
202223,Academic year,School,E92000001,England,E12000001,North East,392,E08000022,North Tyneside,1392003,1392013,3927006,108657,Percy Hedley School,Secondary,AT,180,159,39,141,33,126
202223,Academic year,School,E92000001,England,E12000001,North East,392,E08000022,North Tyneside,1392003,1392013,3927007,133432,Silverdale School,Secondary,AT,110,127,21,89,38,89
202223,Academic year,School,E92000001,England,E12000001,North East,392,E08000022,North Tyneside,1392003,1392013,3927008,131544,Beacon Hill School,Secondary,AT,231,224,108,123,106,118
202223,Academic year,School,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,1393003,1393013,3937000,108738,Bamburgh School,Secondary,AT,212,212,73,139,73,139
202223,Academic year,School,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,1393003,1393013,3937004,108741,Epinay Business and Enterprise School,Secondary,AT,202,202,47,155,47,155
202223,Academic year,School,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,z,1393013,3937006,134813,Park View School,Secondary,SS,46,46,0,46,0,46
202223,Academic year,School,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,1393003,1393013,3937007,136252,Keelman's Way School,Secondary,AT,165,165,85,80,85,80
202223,Academic year,School,E92000001,England,E12000001,North East,394,E08000024,Sunderland,1394003,z,3947001,134184,Columbia Grange School,Primary,PS,115,120,115,0,120,0
202223,Academic year,School,E92000001,England,E12000001,North East,394,E08000024,Sunderland,z,1394013,3947002,146640,Trinity Academy New Bridge,Secondary,SS,140,133,0,140,0,133
202223,Academic year,School,E92000001,England,E12000001,North East,394,E08000024,Sunderland,1394003,1394013,3947003,147841,Harry Watts Academy,Secondary,AT,160,139,80,80,70,69
202223,Academic year,School,E92000001,England,E12000001,North East,394,E08000024,Sunderland,z,1394013,3947004,138530,Barbara Priestman Academy,Secondary,SS,92,170,0,92,0,170
202223,Academic year,School,E92000001,England,E12000001,North East,394,E08000024,Sunderland,1394003,z,3947014,141153,North View Academy,Primary,PS,85,84,85,0,84,0
202223,Academic year,School,E92000001,England,E12000001,North East,394,E08000024,Sunderland,1394003,z,3947016,108882,Sunningdale School,Primary,PS,120,125,120,0,125,0
202223,Academic year,School,E92000001,England,E12000001,North East,394,E08000024,Sunderland,z,1394013,3947018,138526,Portland Academy,Secondary,SS,120,189,0,120,0,189
202223,Academic year,School,E92000001,England,E12000001,North East,805,E06000001,Hartlepool,z,1805013,8057026,139976,Catcote Academy,Secondary,SS,200,203,0,200,0,203
202223,Academic year,School,E92000001,England,E12000001,North East,805,E06000001,Hartlepool,1805003,z,8057027,149243,Springwell School,Primary,PS,88,96,88,0,96,0
202223,Academic year,School,E92000001,England,E12000001,North East,806,E06000002,Middlesbrough,1806003,1806013,8067000,131425,Priory Woods School,Secondary,AT,197,197,81,116,71,126
202223,Academic year,School,E92000001,England,E12000001,North East,806,E06000002,Middlesbrough,z,1806013,8067001,143519,Hollis Academy,Secondary,SS,85,87,0,85,0,87
202223,Academic year,School,E92000001,England,E12000001,North East,806,E06000002,Middlesbrough,1806003,1806013,8067002,145877,Discovery Special Academy,Secondary,AT,122,116,110,12,98,18
202223,Academic year,School,E92000001,England,E12000001,North East,806,E06000002,Middlesbrough,1806003,1806013,8067003,111773,Beverley School,Secondary,AT,156,150,60,96,61,89
202223,Academic year,School,E92000001,England,E12000001,North East,806,E06000002,Middlesbrough,1806003,z,8067005,111775,Holmwood School,Primary,PS,95,98,95,0,98,0
202223,Academic year,School,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,1807003,1807013,8077000,146953,Mo Mowlam Academy,Secondary,AT,102,102,34,68,34,68
202223,Academic year,School,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,1807003,1807013,8077001,149101,River Tees Academy Grangetown,Secondary,AT,29,29,5,24,5,24
202223,Academic year,School,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,1807003,1807013,8077008,111777,Kirkleatham Hall School,Secondary,AT,170,170,79,91,79,91
202223,Academic year,School,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,1807003,1807013,8077030,139110,Kilton Thorpe Specialist Academy,Secondary,AT,170,170,80,90,80,90
202223,Academic year,School,E92000001,England,E12000001,North East,808,E06000004,Stockton-on-Tees,1808003,z,8085950,141384,Green Gates Academy,Primary,PS,50,46,50,0,46,0
202223,Academic year,School,E92000001,England,E12000001,North East,808,E06000004,Stockton-on-Tees,z,1808013,8085951,141385,Westlands Academy,Secondary,SS,85,83,0,85,0,83
202223,Academic year,School,E92000001,England,E12000001,North East,808,E06000004,Stockton-on-Tees,1808003,z,8087000,141345,Ash Trees Academy,Primary,PS,170,171,170,0,171,0
202223,Academic year,School,E92000001,England,E12000001,North East,808,E06000004,Stockton-on-Tees,z,1808013,8087029,139974,Abbey Hill Academy,Secondary,SS,357,357,0,357,0,357
202223,Academic year,School,E92000001,England,E12000001,North East,840,E06000047,County Durham,z,1840013,8407000,131905,The Meadows School,Secondary,SS,64,64,0,64,0,64
202223,Academic year,School,E92000001,England,E12000001,North East,840,E06000047,County Durham,z,1840013,8407006,114337,Elemore Hall School,Secondary,SS,180,181,0,180,0,181
202223,Academic year,School,E92000001,England,E12000001,North East,840,E06000047,County Durham,1840003,1840013,8407013,114340,Croft Community School,Secondary,AT,230,229,59,171,59,170
202223,Academic year,School,E92000001,England,E12000001,North East,840,E06000047,County Durham,1840003,z,8407014,114341,Walworth School,Primary,PS,80,80,80,0,80,0
202223,Academic year,School,E92000001,England,E12000001,North East,840,E06000047,County Durham,1840003,1840013,8407028,114345,Villa Real School,Secondary,AT,124,120,69,55,65,55
202223,Academic year,School,E92000001,England,E12000001,North East,840,E06000047,County Durham,1840003,1840013,8407029,138718,Hope Wood Academy,Secondary,AT,223,219,77,146,75,144
202223,Academic year,School,E92000001,England,E12000001,North East,840,E06000047,County Durham,1840003,1840013,8407032,114349,Durham Trinity School & Sports College,Secondary,AT,227,227,88,139,88,139
202223,Academic year,School,E92000001,England,E12000001,North East,840,E06000047,County Durham,z,1840013,8407033,134662,The Oaks Secondary School,Secondary,SS,348,350,0,348,0,350
202223,Academic year,School,E92000001,England,E12000001,North East,840,E06000047,County Durham,1840003,z,8407034,134663,Evergreen Primary School,Primary,PS,195,192,195,0,192,0
202223,Academic year,School,E92000001,England,E12000001,North East,841,E06000005,Darlington,1841003,z,8417000,139691,Marchbank Free School,Primary,PS,42,51,42,0,51,0
202223,Academic year,School,E92000001,England,E12000001,North East,841,E06000005,Darlington,1841003,1841013,8417031,138093,Beaumont Hill Academy,Secondary,AT,232,293,86,146,110,183
