time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,education_phase,count_schools,school_places,pupils_on_roll,at_or_over_capacity_schools,percent_at_or_over_capacity_schools,pupils_over_capacity,percent_pupils_over_capacity,under_capacity_schools,percent_under_capacity_schools,unfilled_places,percent_unfilled_places
202324,Academic year,National,E92000001,England,,,,,,Total,20174,9002372,7996581,3532,17.5076,57725,0.64121989,16642,82.4923,1063516,11.81373087
202324,Academic year,National,E92000001,England,,,,,,Primary,16759,4950124,4359531,2721,16.236,20737,0.4189188,14038,83.7639,611330,12.34979164
202324,Academic year,National,E92000001,England,,,,,,Secondary,3415,4052248,3637050,811,23.7481,36988,0.9127773,2604,76.2518,452186,11.15889255
202324,Academic year,Regional,E92000001,England,E12000001,North East,,,,Total,1035,417468,360651,115,11.1111,1866,0.44698037,920,88.8888,58683,14.0568858
202324,Academic year,Regional,E92000001,England,E12000001,North East,,,,Primary,862,230479,196138,79,9.1647,579,0.25121595,783,90.8352,34920,15.15105498
202324,Academic year,Regional,E92000001,England,E12000001,North East,,,,Secondary,173,186989,164513,36,20.8092,1287,0.68827578,137,79.1907,23763,12.70823417
202324,Academic year,Regional,E92000001,England,E12000002,North West,,,,Total,2904,1181246,1076393,631,21.7286,7765,0.65735672,2273,78.2713,112618,9.53383123
202324,Academic year,Regional,E92000001,England,E12000002,North West,,,,Primary,2438,665309,607423,510,20.9187,3944,0.59280725,1928,79.0812,61830,9.29342606
202324,Academic year,Regional,E92000001,England,E12000002,North West,,,,Secondary,466,515937,468970,121,25.9656,3821,0.7405943,345,74.0343,50788,9.84383752
202324,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Total,2091,892183,794492,332,15.8775,4668,0.52321105,1759,84.1224,102359,11.47287048
202324,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Primary,1769,497667,440781,272,15.3759,1968,0.39544515,1497,84.624,58854,11.82598002
202324,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Secondary,322,394516,353711,60,18.6335,2700,0.68438289,262,81.3664,43505,11.02743615
202324,Academic year,Regional,E92000001,England,E12000004,East Midlands,,,,Total,1944,779247,698470,327,16.8209,5583,0.71646089,1617,83.179,86360,11.08249374
202324,Academic year,Regional,E92000001,England,E12000004,East Midlands,,,,Primary,1653,431379,382246,260,15.7289,2015,0.46710665,1393,84.271,51148,11.85685905
202324,Academic year,Regional,E92000001,England,E12000004,East Midlands,,,,Secondary,291,347868,316224,67,23.024,3568,1.02567641,224,76.9759,35212,10.12223027
202324,Academic year,Regional,E92000001,England,E12000005,West Midlands,,,,Total,2196,986712,902837,528,24.0437,8648,0.87644622,1668,75.9562,92523,9.37690025
202324,Academic year,Regional,E92000001,England,E12000005,West Midlands,,,,Primary,1775,534443,491074,404,22.7605,3323,0.62176883,1371,77.2394,46692,8.73657247
202324,Academic year,Regional,E92000001,England,E12000005,West Midlands,,,,Secondary,421,452269,411763,124,29.4536,5325,1.17739664,297,70.5463,45831,10.13357095
202324,Academic year,Regional,E92000001,England,E12000006,East of England,,,,Total,2374,1037316,918947,379,15.9646,4950,0.47719306,1995,84.0353,123319,11.88827705
202324,Academic year,Regional,E92000001,England,E12000006,East of England,,,,Primary,1986,568555,497957,293,14.7532,1653,0.29073704,1693,85.2467,72251,12.7078295
202324,Academic year,Regional,E92000001,England,E12000006,East of England,,,,Secondary,388,468761,420990,86,22.1649,3297,0.70334349,302,77.835,51068,10.89425101
202324,Academic year,Regional,E92000001,England,E12000007,London,,,,Total,2288,1413799,1216064,289,12.6311,9165,0.64825339,1999,87.3688,206900,14.63432921
202324,Academic year,Regional,E92000001,England,E12000007,London,,,,Primary,1787,768067,641535,174,9.7369,2244,0.29216201,1613,90.263,128776,16.76624565
202324,Academic year,Regional,E92000001,England,E12000007,London,,,,Secondary,501,645732,574529,115,22.954,6921,1.07180688,386,77.0459,78124,12.09851765
202324,Academic year,Regional,E92000001,England,E12000008,South East,,,,Total,3119,1430758,1290551,623,19.9743,10028,0.70088722,2496,80.0256,150235,10.50037812
202324,Academic year,Regional,E92000001,England,E12000008,South East,,,,Primary,2604,783946,703705,487,18.7019,3370,0.42987655,2117,81.298,83611,10.66540297
202324,Academic year,Regional,E92000001,England,E12000008,South East,,,,Secondary,515,646812,586846,136,26.4077,6658,1.02935629,379,73.5922,66624,10.30036548
