time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,education_phase,pupil_forecast_and_202324_actuals
202324,Academic year,National,E92000001,England,,,,,,Total,z
202324,Academic year,National,E92000001,England,,,,,,Primary,z
202324,Academic year,National,E92000001,England,,,,,,Secondary,z
202324,Academic year,Regional,E92000001,England,E12000001,North East,,,,Total,z
202324,Academic year,Regional,E92000001,England,E12000001,North East,,,,Primary,z
202324,Academic year,Regional,E92000001,England,E12000001,North East,,,,Secondary,z
202324,Academic year,Regional,E92000001,England,E12000002,North West,,,,Total,z
202324,Academic year,Regional,E92000001,England,E12000002,North West,,,,Primary,z
202324,Academic year,Regional,E92000001,England,E12000002,North West,,,,Secondary,z
202324,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Total,z
202324,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Primary,z
202324,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Secondary,z
202324,Academic year,Regional,E92000001,England,E12000004,East Midlands,,,,Total,z
202324,Academic year,Regional,E92000001,England,E12000004,East Midlands,,,,Primary,z
202324,Academic year,Regional,E92000001,England,E12000004,East Midlands,,,,Secondary,z
202324,Academic year,Regional,E92000001,England,E12000005,West Midlands,,,,Total,z
202324,Academic year,Regional,E92000001,England,E12000005,West Midlands,,,,Primary,z
202324,Academic year,Regional,E92000001,England,E12000005,West Midlands,,,,Secondary,z
202324,Academic year,Regional,E92000001,England,E12000006,East of England,,,,Total,z
202324,Academic year,Regional,E92000001,England,E12000006,East of England,,,,Primary,z
202324,Academic year,Regional,E92000001,England,E12000006,East of England,,,,Secondary,z
202324,Academic year,Regional,E92000001,England,E12000007,London,,,,Total,z
202324,Academic year,Regional,E92000001,England,E12000007,London,,,,Primary,z
202324,Academic year,Regional,E92000001,England,E12000007,London,,,,Secondary,z
202324,Academic year,Regional,E92000001,England,E12000008,South East,,,,Total,z
202324,Academic year,Regional,E92000001,England,E12000008,South East,,,,Primary,z
202324,Academic year,Regional,E92000001,England,E12000008,South East,,,,Secondary,z
202324,Academic year,Regional,E92000001,England,E12000009,South West,,,,Total,z
202324,Academic year,Regional,E92000001,England,E12000009,South West,,,,Primary,z
202324,Academic year,Regional,E92000001,England,E12000009,South West,,,,Secondary,z
202324,Academic year,Regional,E92000001,England,E13000001,Inner London,,,,Total,z
202324,Academic year,Regional,E92000001,England,E13000001,Inner London,,,,Primary,z
