time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,education_phase,count_schools,count_schools_with_primary_and_secondary_capacity,total_school_places,total_pupils_on_roll,SEND_unit_capacity,resourced_provision_capacity,primary_SEND_unit_capacity,primary_resourced_provision_capacity,secondary_SEND_unit_capacity,secondary_resourced_provision_capacity
202324,Academic year,National,E92000001,England,,,,,,Total,1781,41,1271141,1142302,9828,19862,6552,11597,3256,8241
202324,Academic year,National,E92000001,England,,,,,,Primary,1155,2,455569,404438,6541,11443,6529,11440,0,3
202324,Academic year,National,E92000001,England,,,,,,Secondary,626,39,815572,737864,3287,8419,23,157,3256,8238
202324,Academic year,Regional,E92000001,England,E12000001,North East,,,,Total,101,3,65379,59120,761,1215,494,702,267,513
202324,Academic year,Regional,E92000001,England,E12000001,North East,,,,Primary,64,0,20115,17379,476,698,476,698,0,0
202324,Academic year,Regional,E92000001,England,E12000001,North East,,,,Secondary,37,3,45264,41741,285,517,18,4,267,513
202324,Academic year,Regional,E92000001,England,E12000002,North West,,,,Total,219,3,124815,115229,709,2711,691,1722,18,989
202324,Academic year,Regional,E92000001,England,E12000002,North West,,,,Primary,158,0,51338,46320,691,1682,691,1682,0,0
202324,Academic year,Regional,E92000001,England,E12000002,North West,,,,Secondary,61,3,73477,68909,18,1029,0,40,18,989
202324,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Total,175,5,134855,121421,568,2006,328,1051,240,955
202324,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Primary,104,0,38142,34277,328,1028,328,1028,0,0
202324,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Secondary,71,5,96713,87144,240,978,0,23,240,955
202324,Academic year,Regional,E92000001,England,E12000004,East Midlands,,,,Total,93,1,63864,59503,1701,57,985,42,716,15
202324,Academic year,Regional,E92000001,England,E12000004,East Midlands,,,,Primary,60,0,22430,20401,985,42,985,42,0,0
202324,Academic year,Regional,E92000001,England,E12000004,East Midlands,,,,Secondary,33,1,41434,39102,716,15,0,0,716,15
202324,Academic year,Regional,E92000001,England,E12000005,West Midlands,,,,Total,156,5,95437,86519,404,1773,303,1102,101,671
202324,Academic year,Regional,E92000001,England,E12000005,West Midlands,,,,Primary,111,1,42257,39903,303,1090,303,1087,0,3
202324,Academic year,Regional,E92000001,England,E12000005,West Midlands,,,,Secondary,45,4,53180,46616,101,683,0,15,101,668
202324,Academic year,Regional,E92000001,England,E12000006,East of England,,,,Total,178,3,123114,110406,1686,896,1139,337,527,559
202324,Academic year,Regional,E92000001,England,E12000006,East of England,,,,Primary,117,1,46633,41566,1146,337,1134,337,0,0
202324,Academic year,Regional,E92000001,England,E12000006,East of England,,,,Secondary,61,2,76481,68840,540,559,5,0,527,559
202324,Academic year,Regional,E92000001,England,E12000007,London,,,,Total,347,11,284880,250490,1365,5158,1018,3391,347,1743
