time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,primary_planning_area_code,secondary_planning_area_code,school_laestab,school_urn,school_name,education_phase,school_phase,school_places,pupils_on_roll,SEND_unit_capacity,resourced_provision_capacity,primary_SEND_unit_capacity,primary_resourced_provision_capacity,secondary_SEND_unit_capacity,secondary_resourced_provision_capacity
202324,Academic year,School,E92000001,England,E12000001,North East,390,E08000037,Gateshead,3904004,z,3902039,108327,Bede Community Primary School,Primary,PS,210,216,24,0,24,0,0,0
202324,Academic year,School,E92000001,England,E12000001,North East,390,E08000037,Gateshead,3903003,z,3902172,108342,Swalwell Primary School,Primary,PS,210,130,18,0,18,0,0,0
202324,Academic year,School,E92000001,England,E12000001,North East,390,E08000037,Gateshead,3904004,z,3902200,108359,Brandling Primary School,Primary,PS,210,197,0,8,0,8,0,0
202324,Academic year,School,E92000001,England,E12000001,North East,390,E08000037,Gateshead,3902002,z,3902222,108369,Lobley Hill Primary School,Primary,PS,406,308,8,0,8,0,0,0
202324,Academic year,School,E92000001,England,E12000001,North East,390,E08000037,Gateshead,3901001,z,3902239,131081,Rowlands Gill Community Primary School,Primary,PS,420,179,10,0,10,0,0,0
202324,Academic year,School,E92000001,England,E12000001,North East,390,E08000037,Gateshead,z,3901000,3904001,141185,Thorp Academy,Secondary,SS,1511,1453,15,0,0,0,15,0
202324,Academic year,School,E92000001,England,E12000001,North East,390,E08000037,Gateshead,z,3901000,3904029,137360,Whickham School,Secondary,SS,1713,1658,21,0,0,0,21,0
202324,Academic year,School,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,3911234,z,3912003,108440,Regent Farm First School,Primary,PS,300,298,0,6,0,6,0,0
202324,Academic year,School,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,3911314,z,3912008,138577,Welbeck Academy,Primary,PS,420,419,0,12,0,12,0,0
202324,Academic year,School,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,3911718,z,3912010,138212,Atkinson Road Primary Academy,Primary,PS,420,360,0,24,0,24,0,0
202324,Academic year,School,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,3912122,z,3912018,143271,Cheviot Primary School,Primary,PS,210,186,0,14,0,14,0,0
202324,Academic year,School,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,3910910,z,3912050,108459,Benton Park Primary School,Primary,PS,420,415,12,12,12,12,0,0
202324,Academic year,School,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,3911718,z,3912080,108460,Hawthorn Primary School,Primary,PS,210,214,8,8,8,8,0,0
202324,Academic year,School,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,3911718,z,3912210,108466,Bridgewater Primary School,Primary,PS,420,415,8,8,8,8,0,0
202324,Academic year,School,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,3911718,z,3912225,108468,Broadwood Primary School,Primary,PS,297,203,12,12,12,12,0,0
202324,Academic year,School,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,3911314,z,3912250,144272,Tyneview Primary School,Primary,PS,210,216,0,10,0,10,0,0
202324,Academic year,School,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,3915678,z,3912300,143268,North Fawdon Primary School,Primary,PS,210,183,6,6,6,6,0,0
