time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,education_phase,count_schools,count_schools_with_primary_and_secondary_capacity,school_places,pupils_on_roll,primary_capacity,secondary_capacity,primary_pupils_on_roll,secondary_pupils_on_roll
202324,Academic year,National,E92000001,England,,,,,,Total,1089,658,153462,160036,61212,92250,60537,99499
202324,Academic year,National,E92000001,England,,,,,,Primary,198,6,22926,23847,22835,91,23726,121
202324,Academic year,National,E92000001,England,,,,,,Secondary,891,652,130536,136189,38377,92159,36811,99378
202324,Academic year,Regional,E92000001,England,E12000001,North East,,,,Total,65,31,9873,10080,4134,5739,4024,6056
202324,Academic year,Regional,E92000001,England,E12000001,North East,,,,Primary,15,0,1802,1863,1802,0,1863,0
202324,Academic year,Regional,E92000001,England,E12000001,North East,,,,Secondary,50,31,8071,8217,2332,5739,2161,6056
202324,Academic year,Regional,E92000001,England,E12000002,North West,,,,Total,170,73,22665,24504,9104,13561,9211,15293
202324,Academic year,Regional,E92000001,England,E12000002,North West,,,,Primary,45,0,5504,5660,5504,0,5659,1
202324,Academic year,Regional,E92000001,England,E12000002,North West,,,,Secondary,125,73,17161,18844,3600,13561,3552,15292
202324,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Total,88,62,12999,13717,4810,8189,4820,8897
202324,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Primary,13,1,1675,1837,1674,1,1837,0
202324,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Secondary,75,61,11324,11880,3136,8188,2983,8897
202324,Academic year,Regional,E92000001,England,E12000004,East Midlands,,,,Total,83,57,11353,12143,4172,7181,4286,7857
202324,Academic year,Regional,E92000001,England,E12000004,East Midlands,,,,Primary,10,0,1191,1222,1191,0,1222,0
202324,Academic year,Regional,E92000001,England,E12000004,East Midlands,,,,Secondary,73,57,10162,10921,2981,7181,3064,7857
202324,Academic year,Regional,E92000001,England,E12000005,West Midlands,,,,Total,127,64,18748,20032,7678,11070,8175,11857
202324,Academic year,Regional,E92000001,England,E12000005,West Midlands,,,,Primary,36,3,3800,4148,3748,52,4074,74
202324,Academic year,Regional,E92000001,England,E12000005,West Midlands,,,,Secondary,91,61,14948,15884,3930,11018,4101,11783
202324,Academic year,Regional,E92000001,England,E12000006,East of England,,,,Total,116,92,15692,16352,6429,9263,6293,10059
202324,Academic year,Regional,E92000001,England,E12000006,East of England,,,,Primary,10,0,1159,1182,1159,0,1179,3
202324,Academic year,Regional,E92000001,England,E12000006,East of England,,,,Secondary,106,92,14533,15170,5270,9263,5114,10056
202324,Academic year,Regional,E92000001,England,E12000007,London,,,,Total,159,87,21888,22467,8877,13011,8442,14025
